provider,model,seed,request,prompt_tokens,cache_read_tokens,output_tokens
ollama,deepseek-v4-flash:0731,1,74,30606,8192,107
ollama,deepseek-v4-flash:0731,1,75,30795,8192,180
ollama,deepseek-v4-flash:0731,1,76,31044,8192,1103
ollama,deepseek-v4-flash:0731,1,77,34590,8192,803
ollama,deepseek-v4-flash:0731,1,78,35630,8192,112
ollama,deepseek-v4-flash:0731,1,79,35786,8192,1837
ollama,deepseek-v4-flash:0731,1,80,37677,8192,141
ollama,deepseek-v4-flash:0731,1,81,37906,8192,484
ollama,deepseek-v4-flash:0731,1,82,38444,8192,500
ollama,deepseek-v4-flash:0731,1,83,38997,8192,257
ollama,deepseek-v4-flash:0731,1,84,39307,8192,141
ollama,deepseek-v4-flash:0731,1,85,39537,8192,736
ollama,deepseek-v4-flash:0731,1,86,42109,8192,280
ollama,deepseek-v4-flash:0731,1,87,42499,8192,485
ollama,deepseek-v4-flash:0731,1,88,44821,8192,323
ollama,deepseek-v4-flash:0731,1,89,45287,12288,1063
ollama,deepseek-v4-flash:0731,1,90,46439,12288,497
ollama,deepseek-v4-flash:0731,1,91,47025,15232,880
ollama,deepseek-v4-flash:0731,1,92,47994,15232,566
ollama,deepseek-v4-flash:0731,1,93,48649,15232,463
ollama,deepseek-v4-flash:0731,1,94,49200,0,805
ollama,deepseek-v4-flash:0731,1,95,50096,16256,1585
ollama,deepseek-v4-flash:0731,1,96,51770,16256,754
ollama,deepseek-v4-flash:0731,1,97,52681,16256,1433
ollama,deepseek-v4-flash:0731,1,98,54202,16256,1530
ollama,deepseek-v4-flash:0731,1,99,55930,16256,1476
ollama,deepseek-v4-flash:0731,1,100,57575,16256,977
ollama,deepseek-v4-flash:0731,1,101,58734,16256,307
ollama,deepseek-v4-flash:0731,1,102,59125,16256,987
ollama,deepseek-v4-flash:0731,1,103,60166,16256,105
ollama,deepseek-v4-flash:0731,1,104,60331,16256,314
ollama,deepseek-v4-flash:0731,1,105,9036,0,458
ollama,deepseek-v4-flash:0731,1,106,10340,0,116
ollama,deepseek-v4-flash:0731,1,107,10826,0,1029
ollama,deepseek-v4-flash:0731,2,1,14853,0,99
ollama,deepseek-v4-flash:0731,2,2,18398,0,217
ollama,deepseek-v4-flash:0731,2,3,20549,0,193
ollama,deepseek-v4-flash:0731,2,4,20818,0,145
ollama,deepseek-v4-flash:0731,2,5,21044,0,2458
ollama,deepseek-v4-flash:0731,2,6,23950,1408,738
ollama,deepseek-v4-flash:0731,2,7,25516,1408,5035
ollama,deepseek-v4-flash:0731,2,8,30599,1408,317
ollama,deepseek-v4-flash:0731,2,9,29418,0,0
ollama,deepseek-v4-flash:0731,2,10,32919,1408,126
ollama,deepseek-v4-flash:0731,2,11,33160,1408,141
ollama,deepseek-v4-flash:0731,2,12,33386,1408,223
ollama,deepseek-v4-flash:0731,2,13,33676,1408,1329
ollama,deepseek-v4-flash:0731,2,14,35936,1408,866
ollama,deepseek-v4-flash:0731,2,15,36873,1408,123
ollama,deepseek-v4-flash:0731,2,16,37084,1408,1016
ollama,deepseek-v4-flash:0731,2,17,38171,1408,110
ollama,deepseek-v4-flash:0731,2,18,38367,1408,159
ollama,deepseek-v4-flash:0731,2,19,38593,1408,2010
ollama,deepseek-v4-flash:0731,2,20,40674,1408,114
ollama,deepseek-v4-flash:0731,2,21,40874,1408,87
ollama,deepseek-v4-flash:0731,2,22,41027,1408,1606
ollama,deepseek-v4-flash:0731,2,23,43297,1408,4006
ollama,deepseek-v4-flash:0731,2,24,48659,1408,1506
ollama,deepseek-v4-flash:0731,2,25,50219,1408,582
ollama,deepseek-v4-flash:0731,2,26,50889,1408,103
ollama,deepseek-v4-flash:0731,2,27,51272,1408,1433
ollama,deepseek-v4-flash:0731,2,28,52759,1408,108
ollama,deepseek-v4-flash:0731,2,29,52953,1408,86
ollama,deepseek-v4-flash:0731,2,30,53230,1408,3704
ollama,deepseek-v4-flash:0731,2,31,56988,1408,880
ollama,deepseek-v4-flash:0731,2,32,57922,1408,207
ollama,deepseek-v4-flash:0731,2,33,58183,1408,110
ollama,deepseek-v4-flash:0731,2,34,58380,1408,88
ollama,deepseek-v4-flash:0731,2,35,58674,1408,2386
ollama,deepseek-v4-flash:0731,2,36,61463,1408,2560
ollama,deepseek-v4-flash:0731,2,37,64077,3072,379
ollama,deepseek-v4-flash:0731,2,38,64509,3072,508
ollama,deepseek-v4-flash:0731,2,39,65071,3072,499
ollama,deepseek-v4-flash:0731,2,40,65623,3072,418
ollama,deepseek-v4-flash:0731,2,41,66095,3072,180
ollama,deepseek-v4-flash:0731,2,42,66328,3072,112
ollama,deepseek-v4-flash:0731,2,43,66528,3072,110
ollama,deepseek-v4-flash:0731,2,44,66824,3072,1650
ollama,deepseek-v4-flash:0731,2,45,68528,3072,340
ollama,deepseek-v4-flash:0731,2,46,68920,3072,195
ollama,deepseek-v4-flash:0731,2,47,69168,3328,99
ollama,deepseek-v4-flash:0731,2,48,69354,3328,87
ollama,deepseek-v4-flash:0731,2,49,69633,3328,1030
ollama,deepseek-v4-flash:0731,2,50,70717,3328,1146
ollama,deepseek-v4-flash:0731,2,51,71939,3328,991
ollama,deepseek-v4-flash:0731,2,52,73041,3328,119
ollama,deepseek-v4-flash:0731,2,53,73367,3328,999
ollama,deepseek-v4-flash:0731,2,54,77001,3328,416
ollama,deepseek-v4-flash:0731,2,55,79134,3328,361
ollama,deepseek-v4-flash:0731,2,56,80077,3328,1450
ollama,deepseek-v4-flash:0731,2,57,81689,4096,103
ollama,deepseek-v4-flash:0731,2,58,81881,4096,88
ollama,deepseek-v4-flash:0731,2,59,82179,4096,714
ollama,deepseek-v4-flash:0731,2,60,85528,4096,1217
ollama,deepseek-v4-flash:0731,2,61,87237,4096,1208
ollama,deepseek-v4-flash:0731,2,62,88498,4096,100
ollama,deepseek-v4-flash:0731,2,63,88727,4096,313
ollama,deepseek-v4-flash:0731,2,64,89457,4096,2586
ollama,deepseek-v4-flash:0731,2,65,92097,4096,338
ollama,deepseek-v4-flash:0731,2,66,80307,0,0
ollama,deepseek-v4-flash:0731,2,67,95827,4096,304
ollama,deepseek-v4-flash:0731,2,68,97315,4096,2308
ollama,deepseek-v4-flash:0731,2,69,100398,4096,1017
ollama,deepseek-v4-flash:0731,2,70,101469,4096,124
ollama,deepseek-v4-flash:0731,2,71,101682,4096,88
ollama,deepseek-v4-flash:0731,2,72,101988,4096,1351
ollama,deepseek-v4-flash:0731,2,73,106075,4096,83
ollama,deepseek-v4-flash:0731,2,74,106599,12288,83
ollama,deepseek-v4-flash:0731,2,75,106857,12288,1408
ollama,deepseek-v4-flash:0731,2,76,108319,12288,119
ollama,deepseek-v4-flash:0731,2,77,108527,12288,85
ollama,deepseek-v4-flash:0731,2,78,108712,12288,2082
ollama,deepseek-v4-flash:0731,2,79,113530,12288,1000
ollama,deepseek-v4-flash:0731,2,80,114846,12288,315
ollama,deepseek-v4-flash:0731,2,81,116244,12288,807
ollama,deepseek-v4-flash:0731,2,82,118047,12288,1573
ollama,deepseek-v4-flash:0731,2,83,119710,12288,119
ollama,deepseek-v4-flash:0731,2,84,120464,12288,992
ollama,deepseek-v4-flash:0731,2,85,121509,12288,120
ollama,deepseek-v4-flash:0731,2,86,121736,12288,80
ollama,deepseek-v4-flash:0731,2,87,121904,12288,1115
ollama,deepseek-v4-flash:0731,2,88,123109,12288,123
ollama,deepseek-v4-flash:0731,2,89,123319,0,135
ollama,deepseek-v4-flash:0731,2,90,123666,16081,2437
ollama,deepseek-v4-flash:0731,2,91,126215,16096,892
ollama,deepseek-v4-flash:0731,2,92,127933,16111,1098
ollama,deepseek-v4-flash:0731,2,93,129157,16126,1466
ollama,deepseek-v4-flash:0731,2,94,130713,16128,257
ollama,deepseek-v4-flash:0731,2,95,131063,16128,176
ollama,deepseek-v4-flash:0731,2,96,131632,16128,1459
ollama,deepseek-v4-flash:0731,2,97,135984,16128,892
ollama,deepseek-v4-flash:0731,2,98,137000,16128,2117
ollama,deepseek-v4-flash:0731,2,99,142010,17024,8131
ollama,deepseek-v4-flash:0731,2,100,129002,0,0
ollama,deepseek-v4-flash:0731,2,101,82087,0,7872
ollama,deepseek-v4-flash:0731,2,102,90021,7808,125
ollama,deepseek-v4-flash:0731,2,103,90712,7808,1027
ollama,deepseek-v4-flash:0731,2,104,91810,7808,149
ollama,deepseek-v4-flash:0731,2,105,92047,7808,152
ollama,deepseek-v4-flash:0731,2,106,95092,7808,1025
ollama,deepseek-v4-flash:0731,2,107,96170,7808,143
ollama,deepseek-v4-flash:0731,2,108,96420,10752,6554
ollama,deepseek-v4-flash:0731,2,109,103028,10752,148
ollama,deepseek-v4-flash:0731,2,110,103263,10752,1970
ollama,deepseek-v4-flash:0731,2,111,105287,10752,509
ollama,deepseek-v4-flash:0731,2,112,105849,10752,144
ollama,deepseek-v4-flash:0731,2,113,106080,10752,3770
ollama,deepseek-v4-flash:0731,2,114,109904,10752,1000
ollama,deepseek-v4-flash:0731,2,115,110958,10752,238
ollama,deepseek-v4-flash:0731,2,116,111354,10752,513
ollama,deepseek-v4-flash:0731,2,117,113768,10752,2533
ollama,deepseek-v4-flash:0731,2,118,116355,10752,418
ollama,deepseek-v4-flash:0731,2,119,116826,10752,110
ollama,deepseek-v4-flash:0731,2,120,117502,13464,538
ollama,deepseek-v4-flash:0731,2,121,118115,13479,147
ollama,deepseek-v4-flash:0731,2,122,118349,13494,3481
ollama,deepseek-v4-flash:0731,2,123,123713,13509,1094
ollama,deepseek-v4-flash:0731,2,124,124861,13568,149
ollama,deepseek-v4-flash:0731,2,125,125097,13568,1100
ollama,deepseek-v4-flash:0731,2,126,126309,13568,29972
ollama,deepseek-v4-flash:0731,2,127,53442,0,3920
ollama,deepseek-v4-flash:0731,2,128,57403,0,575
ollama,deepseek-v4-flash:0731,2,129,58132,7168,2727
ollama,deepseek-v4-flash:0731,2,130,62729,7168,695
ollama,deepseek-v4-flash:0731,2,131,63550,7168,186
ollama,deepseek-v4-flash:0731,2,132,63793,7168,4696
ollama,deepseek-v4-flash:0731,2,133,68594,7168,140
ollama,deepseek-v4-flash:0731,2,134,68823,7168,150
ollama,deepseek-v4-flash:0731,2,135,69034,7168,5536
ollama,deepseek-v4-flash:0731,2,136,74660,7168,145
ollama,deepseek-v4-flash:0731,2,137,74912,7168,3383
ollama,deepseek-v4-flash:0731,2,138,80452,7168,470
ollama,deepseek-v4-flash:0731,2,139,81113,7168,2564
ollama,deepseek-v4-flash:0731,2,140,84223,7168,146
ollama,deepseek-v4-flash:0731,2,141,85133,7168,662
ollama,deepseek-v4-flash:0731,2,142,85848,7168,147
ollama,deepseek-v4-flash:0731,2,143,86083,7168,628
ollama,deepseek-v4-flash:0731,2,144,86747,7168,92
ollama,deepseek-v4-flash:0731,2,145,86889,7168,2693
ollama,deepseek-v4-flash:0731,2,146,90426,7936,1610
ollama,deepseek-v4-flash:0731,2,147,92089,7936,140
ollama,deepseek-v4-flash:0731,2,148,92318,7936,170
ollama,deepseek-v4-flash:0731,2,149,92568,7936,2579
ollama,deepseek-v4-flash:0731,2,150,95200,7936,1367
ollama,deepseek-v4-flash:0731,2,151,96621,7936,313
ollama,deepseek-v4-flash:0731,2,152,97023,7936,146
ollama,deepseek-v4-flash:0731,2,153,97204,7936,84
ollama,deepseek-v4-flash:0731,2,154,97357,7936,3305
ollama,deepseek-v4-flash:0731,2,155,100716,7936,146
ollama,deepseek-v4-flash:0731,2,156,100950,7936,520
ollama,deepseek-v4-flash:0731,2,157,101550,7936,4912
ollama,deepseek-v4-flash:0731,2,158,106603,7936,395
ollama,deepseek-v4-flash:0731,2,159,107182,7936,1412
ollama,deepseek-v4-flash:0731,2,160,108647,7936,340
ollama,deepseek-v4-flash:0731,2,161,109097,7936,407
ollama,deepseek-v4-flash:0731,3,1,14855,0,68
ollama,deepseek-v4-flash:0731,3,2,17529,0,318
ollama,deepseek-v4-flash:0731,3,3,21217,0,351
ollama,deepseek-v4-flash:0731,3,4,22463,0,326
ollama,deepseek-v4-flash:0731,3,5,22907,0,2243
ollama,deepseek-v4-flash:0731,3,6,29254,512,631
ollama,deepseek-v4-flash:0731,3,7,31112,512,2421
ollama,deepseek-v4-flash:0731,3,8,33988,512,2009
ollama,deepseek-v4-flash:0731,3,9,36051,512,150
ollama,deepseek-v4-flash:0731,3,10,36339,512,653
ollama,deepseek-v4-flash:0731,3,11,37044,512,116
ollama,deepseek-v4-flash:0731,3,12,37633,512,537
ollama,deepseek-v4-flash:0731,3,13,38240,512,151
ollama,deepseek-v4-flash:0731,3,14,38511,512,568
ollama,deepseek-v4-flash:0731,3,15,39743,512,1340
ollama,deepseek-v4-flash:0731,3,16,41155,512,146
ollama,deepseek-v4-flash:0731,3,17,41584,512,344
ollama,deepseek-v4-flash:0731,3,18,41982,512,156
ollama,deepseek-v4-flash:0731,3,19,42391,512,186
ollama,deepseek-v4-flash:0731,3,20,42658,512,404
ollama,deepseek-v4-flash:0731,3,21,43116,512,155
ollama,deepseek-v4-flash:0731,3,22,43411,512,2610
ollama,deepseek-v4-flash:0731,3,23,46485,512,3356
ollama,deepseek-v4-flash:0731,3,24,49895,512,151
ollama,deepseek-v4-flash:0731,3,25,50473,512,572
ollama,deepseek-v4-flash:0731,3,26,51099,512,368
ollama,deepseek-v4-flash:0731,3,27,51938,512,310
ollama,deepseek-v4-flash:0731,3,28,52302,512,162
ollama,deepseek-v4-flash:0731,3,29,52603,512,2810
ollama,deepseek-v4-flash:0731,3,30,57133,1408,2151
ollama,deepseek-v4-flash:0731,3,31,60158,1920,1959
ollama,deepseek-v4-flash:0731,3,32,62443,1920,2962
ollama,deepseek-v4-flash:0731,3,33,65863,1920,1705
ollama,deepseek-v4-flash:0731,3,34,67928,1920,1451
ollama,deepseek-v4-flash:0731,3,35,70018,1920,2703
ollama,deepseek-v4-flash:0731,3,36,73056,1920,2347
ollama,deepseek-v4-flash:0731,3,37,76310,1920,1734
ollama,deepseek-v4-flash:0731,3,38,78520,1920,1760
ollama,deepseek-v4-flash:0731,3,39,80334,1920,151
ollama,deepseek-v4-flash:0731,3,40,80605,1920,2568
ollama,deepseek-v4-flash:0731,3,41,83909,1920,2649
ollama,deepseek-v4-flash:0731,3,42,86805,1920,2067
ollama,deepseek-v4-flash:0731,3,43,89220,1920,2680
ollama,deepseek-v4-flash:0731,3,44,92075,1920,2814
ollama,deepseek-v4-flash:0731,3,45,95262,1920,1462
ollama,deepseek-v4-flash:0731,3,46,96926,1920,3176
ollama,deepseek-v4-flash:0731,3,47,100156,1920,151
ollama,deepseek-v4-flash:0731,3,48,100428,1920,1218
ollama,deepseek-v4-flash:0731,3,49,101827,1920,2133
ollama,deepseek-v4-flash:0731,3,50,104018,1920,1611
ollama,deepseek-v4-flash:0731,3,51,105916,4352,2200
ollama,deepseek-v4-flash:0731,3,52,108293,4352,1618
ollama,deepseek-v4-flash:0731,3,53,110338,4352,2647
ollama,deepseek-v4-flash:0731,3,54,113160,4352,2165
ollama,deepseek-v4-flash:0731,3,55,115463,4352,1648
ollama,deepseek-v4-flash:0731,3,56,117407,4352,1397
ollama,deepseek-v4-flash:0731,3,57,119239,4352,1744
ollama,deepseek-v4-flash:0731,3,58,121546,4352,883
ollama,deepseek-v4-flash:0731,3,59,122483,4352,236
ollama,deepseek-v4-flash:0731,3,60,122772,4352,144
ollama,deepseek-v4-flash:0731,3,61,123038,4352,2106
ollama,deepseek-v4-flash:0731,3,62,125288,4352,2133
ollama,deepseek-v4-flash:0731,3,63,127576,4352,2594
ollama,deepseek-v4-flash:0731,3,64,130395,4352,1434
ollama,deepseek-v4-flash:0731,3,65,132166,4352,1517
ollama,deepseek-v4-flash:0731,3,66,133889,4352,1916
ollama,deepseek-v4-flash:0731,3,67,136073,4352,1856
ollama,deepseek-v4-flash:0731,3,68,138279,0,1510
ollama,deepseek-v4-flash:0731,3,69,140172,0,1754
ollama,deepseek-v4-flash:0731,3,70,142382,0,1825
ollama,deepseek-v4-pro:0813,1,1,14853,2432,51
ollama,deepseek-v4-pro:0813,1,2,17509,2432,159
ollama,deepseek-v4-pro:0813,1,3,18854,2432,134
ollama,deepseek-v4-pro:0813,1,4,21586,2432,218
ollama,deepseek-v4-pro:0813,1,5,21887,2432,528
ollama,deepseek-v4-pro:0813,1,6,22999,2432,3401
ollama,deepseek-v4-pro:0813,1,7,26906,2432,1293
ollama,deepseek-v4-pro:0813,1,8,28253,2432,105
ollama,deepseek-v4-pro:0813,1,9,28472,2432,145
ollama,deepseek-v4-pro:0813,1,10,28704,2432,1970
ollama,deepseek-v4-pro:0813,1,11,30728,2432,618
ollama,deepseek-v4-pro:0813,1,12,31417,2432,109
ollama,deepseek-v4-pro:0813,1,13,31613,2432,823
ollama,deepseek-v4-pro:0813,1,14,33092,2432,731
ollama,deepseek-v4-pro:0813,1,15,33867,2432,430
ollama,deepseek-v4-pro:0813,1,16,34350,2432,117
ollama,deepseek-v4-pro:0813,1,17,34574,2432,69
ollama,deepseek-v4-pro:0813,1,18,34791,2432,476
ollama,deepseek-v4-pro:0813,1,19,35321,2432,270
ollama,deepseek-v4-pro:0813,1,20,35645,2432,122
ollama,deepseek-v4-pro:0813,1,21,35877,2432,69
ollama,deepseek-v4-pro:0813,1,22,36097,2432,142
ollama,deepseek-v4-pro:0813,1,23,36417,2432,184
ollama,deepseek-v4-pro:0813,1,24,36658,2432,134
ollama,deepseek-v4-pro:0813,1,25,36818,2432,123
ollama,deepseek-v4-pro:0813,1,26,37030,2432,296
ollama,deepseek-v4-pro:0813,1,27,37369,2432,324
ollama,deepseek-v4-pro:0813,1,28,37747,2432,120
ollama,deepseek-v4-pro:0813,1,29,37953,2432,1100
ollama,deepseek-v4-pro:0813,1,30,39399,2432,902
ollama,deepseek-v4-pro:0813,1,31,40735,2432,2628
ollama,deepseek-v4-pro:0813,1,32,43624,2432,2751
ollama,deepseek-v4-pro:0813,1,33,46531,2432,2593
ollama,deepseek-v4-pro:0813,1,34,49288,2432,1487
ollama,deepseek-v4-pro:0813,1,35,50853,2432,1066
ollama,deepseek-v4-pro:0813,1,36,52495,2432,1370
ollama,deepseek-v4-pro:0813,1,37,54602,2432,1385
ollama,deepseek-v4-pro:0813,1,38,56809,2432,1827
ollama,deepseek-v4-pro:0813,1,39,58831,2432,1780
ollama,deepseek-v4-pro:0813,1,40,60781,2432,2377
ollama,deepseek-v4-pro:0813,1,41,63212,2432,113
ollama,deepseek-v4-pro:0813,1,42,63413,2432,1790
ollama,deepseek-v4-pro:0813,1,43,65307,2432,1847
ollama,deepseek-v4-pro:0813,1,44,67233,2432,2000
ollama,deepseek-v4-pro:0813,1,45,69287,2432,112
ollama,deepseek-v4-pro:0813,1,46,69486,2432,2035
ollama,deepseek-v4-pro:0813,1,47,71690,2432,2139
ollama,deepseek-v4-pro:0813,1,48,73952,2432,1476
ollama,deepseek-v4-pro:0813,1,49,75487,2432,626
ollama,deepseek-v4-pro:0813,1,50,76167,2432,248
ollama,deepseek-v4-pro:0813,1,51,76468,2432,101
ollama,deepseek-v4-pro:0813,1,52,76658,2432,2250
ollama,deepseek-v4-pro:0813,1,53,79070,2432,2395
ollama,deepseek-v4-pro:0813,1,54,81727,2432,1467
ollama,deepseek-v4-pro:0813,1,55,83326,2432,204
ollama,deepseek-v4-pro:0813,1,56,83597,2432,268
ollama,deepseek-v4-pro:0813,1,57,83946,2432,1966
ollama,deepseek-v4-pro:0813,1,58,86267,2432,147
ollama,deepseek-v4-pro:0813,1,59,86861,2432,1651
ollama,deepseek-v4-pro:0813,1,60,88638,2432,124
ollama,deepseek-v4-pro:0813,1,61,88888,2432,353
ollama,deepseek-v4-pro:0813,1,62,89368,2432,174
ollama,deepseek-v4-pro:0813,1,63,89919,2432,1303
ollama,deepseek-v4-pro:0813,1,64,91276,2432,119
ollama,deepseek-v4-pro:0813,1,65,91483,2432,3739
ollama,deepseek-v4-pro:0813,1,66,95331,2432,1392
ollama,deepseek-v4-pro:0813,1,67,96769,2432,2331
ollama,deepseek-v4-pro:0813,1,68,99154,2432,105
ollama,deepseek-v4-pro:0813,1,69,99348,2432,2112
ollama,deepseek-v4-pro:0813,1,70,101607,2432,2003
ollama,deepseek-v4-pro:0813,1,71,103788,2432,1644
ollama,deepseek-v4-pro:0813,1,72,105473,2432,2131
ollama,deepseek-v4-pro:0813,1,73,107739,2432,840
ollama,deepseek-v4-pro:0813,1,74,108633,2432,142
ollama,deepseek-v4-pro:0813,1,75,108828,2432,111
ollama,deepseek-v4-pro:0813,1,76,109026,2432,2287
ollama,deepseek-v4-pro:0813,1,77,111436,2432,518
ollama,deepseek-v4-pro:0813,1,78,112008,2432,105
ollama,deepseek-v4-pro:0813,1,79,112200,2432,3060
ollama,deepseek-v4-pro:0813,1,80,115365,2432,2126
ollama,deepseek-v4-pro:0813,1,81,117616,2432,963
ollama,deepseek-v4-pro:0813,1,82,118753,2432,407
ollama,deepseek-v4-pro:0813,1,83,119477,2432,3158
ollama,deepseek-v4-pro:0813,1,84,122770,2432,2356
ollama,deepseek-v4-pro:0813,1,85,125258,2432,127
ollama,deepseek-v4-pro:0813,1,86,125525,5760,340
ollama,deepseek-v4-pro:0813,1,87,126006,5760,184
ollama,deepseek-v4-pro:0813,1,88,126595,5760,1527
ollama,deepseek-v4-pro:0813,1,89,128176,5760,123
ollama,deepseek-v4-pro:0813,1,90,128386,5760,377
ollama,deepseek-v4-pro:0813,1,91,128867,5760,2014
ollama,deepseek-v4-pro:0813,1,92,130935,5760,109
ollama,deepseek-v4-pro:0813,1,93,131131,5760,3648
ollama,deepseek-v4-pro:0813,1,94,135179,6351,825
ollama,deepseek-v4-pro:0813,1,95,136059,6366,276
ollama,deepseek-v4-pro:0813,1,96,136388,6381,105
ollama,deepseek-v4-pro:0813,1,97,136580,6396,1153
ollama,deepseek-v4-pro:0813,1,98,137787,6400,252
ollama,deepseek-v4-pro:0813,1,99,138092,6400,103
ollama,deepseek-v4-pro:0813,1,100,138283,6400,115
ollama,deepseek-v4-pro:0813,1,101,140542,6400,2268
ollama,deepseek-v4-pro:0813,1,102,142911,6400,1028
ollama,deepseek-v4-pro:0813,1,103,143994,6400,93
ollama,deepseek-v4-pro:0813,1,104,144177,6400,223
ollama,deepseek-v4-pro:0813,1,105,146544,6400,2055
ollama,deepseek-v4-pro:0813,1,106,148654,6400,103
ollama,deepseek-v4-pro:0813,1,107,148845,6400,305
ollama,deepseek-v4-pro:0813,1,108,149204,6400,103
ollama,deepseek-v4-pro:0813,1,109,149395,6400,130
ollama,deepseek-v4-pro:0813,1,110,151669,6400,681
ollama,deepseek-v4-pro:0813,1,111,152404,6400,109
ollama,deepseek-v4-pro:0813,1,112,152602,6400,162
ollama,deepseek-v4-pro:0813,1,113,154908,6400,116
ollama,deepseek-v4-pro:0813,1,114,155077,14592,109
ollama,deepseek-v4-pro:0813,1,115,155273,14592,125
ollama,deepseek-v4-pro:0813,1,116,157542,14592,249
ollama,deepseek-v4-pro:0813,1,117,157845,14592,103
ollama,deepseek-v4-pro:0813,1,118,0,0,0
ollama,deepseek-v4.1-flash,1,1,14792,0,111
ollama,deepseek-v4.1-flash,1,2,17840,14720,233
ollama,deepseek-v4.1-flash,1,3,21269,17792,211
ollama,deepseek-v4.1-flash,1,4,21802,21248,167
