Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
c-2,c-14,c-1,1422,AS,SJC,SEA,697,Y
c-3,c-12,c-6,2010,US,DCA,TPA,814,Y
c-8,c-17,c-3,1829,DL,BHM,ATL,134,Y
c-11,c-3,c-4,1713,UA,IAD,SEA,2306,N
c-5,c-5,c-4,1545,EV,SHV,ATL,552,Y
c-3,c-1,c-2,2029,UA,GRR,ORD,137,Y
c-12,c-3,c-6,1832,MQ,GSP,ORD,577,Y
c-10,c-16,c-7,2109,XE,EWR,PIT,319,Y
c-3,c-17,c-4,749,UA,ALB,ORD,723,N
c-11,c-26,c-6,1224,AA,DFW,CLT,936,Y
c-11,c-6,c-7,1526,AA,MIA,SFO,2585,Y
c-11,c-23,c-3,801,UA,OAK,DEN,957,N
c-1,c-8,c-6,702,UA,GSO,ORD,590,N
c-5,c-12,c-4,1024,US,PHL,PBI,951,N
c-12,c-18,c-7,619,AA,BOS,MIA,1258,Y
c-3,c-25,c-5,2213,B6,BOS,DEN,1754,Y
c-10,c-7,c-5,2121,XE,MDW,EWR,711,Y
c-7,c-13,c-3,928,EV,VPS,ATL,264,N
c-12,c-27,c-2,1828,DL,BOS,LGA,185,N
c-5,c-15,c-7,2110,NW,DTW,RSW,1085,N
c-10,c-23,c-7,1915,WN,MDW,ISP,765,Y
c-7,c-9,c-6,652,AS,SMF,SEA,605,N
c-2,c-12,c-6,1531,WN,SAN,OAK,446,Y
c-5,c-18,c-3,1559,XE,BNA,EWR,748,N
c-3,c-15,c-2,2000,OH,RIC,CVG,413,N
c-6,c-13,c-1,2007,AA,ORD,LAS,1515,Y
c-5,c-18,c-3,1300,WN,GEG,SLC,546,N
c-12,c-14,c-3,1755,NW,MSP,SAN,1532,Y
c-2,c-9,c-3,1834,XE,XNA,IAH,438,N
c-7,c-18,c-1,953,US,FLL,PHL,992,Y
c-8,c-27,c-6,1707,UA,IAD,PHX,1956,Y
c-9,c-27,c-2,1434,FL,FNT,ATL,644,N
c-11,c-11,c-5,1300,WN,ALB,MCO,1073,Y
c-5,c-29,c-7,1454,HP,PHX,ELP,347,N
c-12,c-19,c-1,1444,MQ,DCA,JFK,213,N
c-2,c-11,c-5,1100,OH,OMA,CVG,614,N
c-11,c-7,c-1,1533,MQ,DFW,CRP,354,N
c-10,c-23,c-7,1235,UA,SFO,SLC,599,Y
c-2,c-14,c-1,1542,OO,RAP,SLC,508,N
c-10,c-18,c-2,1644,UA,FLL,ORD,1182,N
c-10,c-11,c-2,1620,WN,MCO,FLL,178,Y
c-12,c-21,c-3,1351,UA,OGG,LAX,2486,N
c-5,c-31,c-2,915,WN,RNO,LAX,390,N
c-1,c-8,c-6,1333,UA,DEN,GUC,152,Y
c-7,c-16,c-6,2118,NW,MSP,ABQ,981,N
c-6,c-29,c-3,2032,WN,MDW,TPA,997,Y
c-3,c-24,c-4,1758,UA,SAN,SFO,447,N
c-8,c-14,c-7,1345,MQ,LGA,CLT,544,N
c-4,c-28,c-4,1100,EV,SHV,ATL,552,N
c-12,c-27,c-2,1757,WN,SEA,OAK,671,Y
c-6,c-3,c-5,1144,DL,ATL,ABQ,1269,Y
c-6,c-16,c-4,1742,WN,BWI,HOU,1246,Y
c-11,c-15,c-2,2111,CO,IAH,SFO,1635,Y
c-4,c-23,c-6,1938,AS,SEA,KTN,680,Y
c-12,c-28,c-3,1041,US,BOS,CLT,728,N
c-11,c-25,c-5,1311,DL,SFO,SLC,599,Y
c-5,c-14,c-6,2054,US,PHL,ATL,665,Y
c-8,c-7,c-7,1451,MQ,TYS,ORD,475,Y
c-6,c-12,c-7,915,DL,ATL,MCI,692,N
c-8,c-24,c-3,1953,FL,DCA,ATL,547,Y
c-2,c-14,c-1,715,WN,BNA,MCI,491,N
c-1,c-25,c-2,945,WN,ABQ,LAS,487,N
c-3,c-8,c-2,841,DL,MIA,ATL,595,Y
c-12,c-14,c-3,919,CO,IAH,SNA,1347,N
c-4,c-2,c-6,855,OO,SFO,SBA,262,N
c-6,c-28,c-2,1126,DH,CLT,IAD,321,Y
c-6,c-11,c-6,1842,EV,FLO,ATL,273,Y
c-5,c-26,c-4,1045,MQ,BOS,JFK,187,Y
c-3,c-1,c-2,1552,NW,DTW,CMH,155,Y
c-10,c-10,c-1,1947,US,CLT,DEN,1337,Y
c-10,c-3,c-1,920,FL,MCO,PIT,834,Y
c-9,c-7,c-3,2030,XE,CLE,SDF,304,N
c-10,c-6,c-4,1550,NW,DTW,LAN,74,Y
c-10,c-6,c-4,608,DH,CAE,IAD,401,N
c-1,c-3,c-1,2132,AS,ANC,SEA,1449,Y
c-7,c-27,c-3,2157,US,PHL,DCA,119,Y
c-4,c-3,c-7,1738,OO,FCA,SLC,532,N
c-11,c-13,c-7,2317,AA,JFK,SJU,1597,Y
c-12,c-8,c-4,536,DL,ORD,ATL,606,N
c-12,c-22,c-4,1800,OH,TYS,CVG,226,N
c-2,c-1,c-2,1755,WN,OAK,PDX,543,N
c-1,c-11,c-2,1840,WN,BWI,BNA,588,N
c-3,c-23,c-3,2233,NW,DTW,FNT,56,Y
c-6,c-20,c-1,1600,UA,LAX,ORD,1745,N
c-9,c-22,c-4,1152,MQ,ABI,DFW,158,N
c-9,c-26,c-1,1728,AS,DCA,SEA,2329,N
c-12,c-28,c-3,1815,HP,ABQ,PHX,328,Y
c-12,c-7,c-3,2024,WN,HOU,TUL,453,Y
c-12,c-15,c-4,1646,EV,ATL,DAB,366,Y
c-2,c-24,c-4,1250,DH,CMH,IAD,299,N
c-3,c-17,c-4,1910,WN,BNA,BWI,588,Y
c-1,c-1,c-6,1405,UA,SNA,ORD,1726,Y
c-5,c-22,c-7,740,OH,MCO,CAE,380,N
c-6,c-10,c-5,602,US,DCA,LGA,214,N
c-8,c-1,c-1,630,WN,PHX,LAS,256,N
c-10,c-13,c-4,1340,US,PHL,PBI,951,Y
c-11,c-25,c-5,955,NW,MSP,SMF,1518,Y
c-12,c-23,c-5,1511,AA,ELP,DFW,551,N
c-10,c-25,c-2,1353,DL,BDL,MCO,1050,N
c-5,c-13,c-5,1550,MQ,SNA,SJC,342,Y
c-7,c-15,c-5,1515,FL,PHF,LGA,288,Y
c-9,c-21,c-3,1900,OO,SLC,SGF,1027,Y
c-8,c-3,c-3,1534,UA,DEN,OMA,472,N
c-9,c-4,c-7,1730,WN,PHL,OAK,2510,N
c-10,c-17,c-1,1443,EV,ATL,JAN,341,N
c-12,c-23,c-5,1337,MQ,RST,ORD,268,N
c-9,c-29,c-4,1056,DL,BHM,ATL,134,N
c-4,c-13,c-3,626,CO,BOS,EWR,200,N
c-2,c-18,c-5,1718,OH,CLT,CVG,335,Y
c-6,c-22,c-3,1652,AA,OGG,ORD,4184,Y
c-3,c-22,c-2,859,OO,SFO,SNA,372,N
c-12,c-9,c-5,731,DL,IAD,SLC,1827,Y
c-6,c-28,c-2,1619,US,PIT,MCO,834,Y
c-1,c-8,c-6,1416,DL,FLL,JFK,1069,Y
c-4,c-1,c-5,1953,NW,MSP,LGA,1020,Y
c-6,c-30,c-4,1223,AA,LGB,DFW,1220,N
c-11,c-11,c-5,1116,DL,DEN,ATL,1199,Y
c-7,c-8,c-5,1021,OO,DEN,CLE,1201,N
c-3,c-20,c-7,1752,HP,IAD,LAX,2288,Y
c-10,c-16,c-7,1056,US,DCA,LGA,214,N
c-10,c-28,c-5,1455,WN,TPA,SAT,972,Y
c-10,c-9,c-7,1256,AA,DFW,MCO,984,Y
c-3,c-24,c-4,1007,OO,SLC,PHX,507,Y
c-2,c-14,c-1,1040,DH,IAD,ROC,289,N
c-10,c-17,c-1,556,FL,TPA,ATL,406,N
c-3,c-10,c-4,1935,WN,BUR,LAS,223,Y
c-12,c-23,c-5,1309,MQ,SNA,SJC,342,Y
c-12,c-11,c-7,1750,FL,MCO,ATL,403,N
c-8,c-13,c-6,1726,DL,ATL,TPA,406,N
c-4,c-6,c-3,1413,XE,JAX,EWR,821,Y
c-2,c-14,c-1,1157,MQ,DCA,LGA,214,N
c-6,c-28,c-2,951,US,PHL,SJU,1576,Y
c-7,c-15,c-5,1358,AA,ORD,BOS,867,Y
c-11,c-28,c-1,1606,MQ,ORD,PIT,412,Y
c-4,c-11,c-1,713,MQ,LBB,DFW,282,N
c-7,c-16,c-6,2003,DL,ATL,SJC,2116,N
c-8,c-14,c-7,1022,MQ,ORD,TVC,224,N
c-2,c-25,c-5,1431,XE,BHM,IAH,562,N
c-5,c-4,c-3,1353,US,CLT,DTW,500,N
c-5,c-12,c-4,1707,OH,MSN,CVG,373,N
c-7,c-13,c-3,2103,AA,DFW,SEA,1660,Y
c-12,c-14,c-3,633,XE,BUF,EWR,282,N
c-10,c-21,c-5,2110,EV,ATL,ATW,765,Y
c-7,c-18,c-1,935,OH,PWM,BOS,95,N
c-11,c-7,c-1,1346,OO,LAX,SMX,135,N
c-6,c-6,c-1,1514,US,DCA,BDL,313,N
c-4,c-4,c-1,1102,OO,DEN,TUL,541,Y
c-1,c-12,c-3,655,US,MCO,DCA,759,N
c-4,c-12,c-2,900,MQ,BOS,LGA,185,N
c-4,c-9,c-6,756,UA,PHL,ORD,678,N
c-6,c-28,c-2,1122,WN,PHX,LAX,370,Y
c-12,c-9,c-5,1232,HP,LAS,SAN,258,Y
c-2,c-28,c-1,1104,MQ,HSV,DFW,603,N
c-3,c-12,c-6,1801,OO,SLC,COD,298,Y
c-8,c-9,c-2,1716,MQ,EVV,ORD,273,N
c-8,c-5,c-5,2151,HA,HNL,LAS,2762,N
c-6,c-2,c-4,1125,NW,MSP,GFK,284,N
c-12,c-6,c-2,800,OO,SYR,ORD,607,N
c-10,c-3,c-1,1424,OO,BOI,SFO,522,N
c-1,c-29,c-6,1940,OH,CVG,ROA,282,N
c-3,c-2,c-3,1900,AA,STL,LGA,887,Y
c-2,c-21,c-1,1936,AA,BOS,DFW,1562,Y
c-3,c-20,c-7,950,XE,ISP,CLE,458,N
c-11,c-17,c-4,818,MQ,ROC,DFW,1266,Y
c-11,c-28,c-1,1855,WN,MHT,TPA,1204,Y
c-4,c-19,c-2,1151,NW,MSP,SEA,1399,N
c-3,c-5,c-6,1845,MQ,BNA,MIA,806,N
c-10,c-14,c-5,1925,AA,HNL,DFW,3784,Y
c-6,c-5,c-7,1000,WN,ABQ,SAN,628,Y
c-12,c-3,c-6,1830,WN,HOU,DAL,239,N
c-9,c-21,c-3,1415,AA,MIA,MCO,193,N
c-1,c-6,c-4,2241,OO,SFO,EUG,451,N
c-1,c-2,c-7,1750,OO,BUR,SFO,326,Y
c-11,c-17,c-4,1522,B6,JFK,BOS,187,Y
c-4,c-3,c-7,1245,XE,PSP,IAH,1269,N
c-11,c-17,c-4,751,DL,FLL,BOS,1237,N
c-11,c-20,c-7,2145,DL,ATL,LEX,303,Y
c-1,c-19,c-3,1752,DH,IAD,ORF,157,Y
c-1,c-24,c-1,1009,EV,ATL,ICT,781,Y
c-8,c-22,c-1,1114,EV,ATL,IAD,533,Y
c-12,c-13,c-2,2015,WN,ISP,BWI,220,N
c-1,c-20,c-4,602,EV,SHV,DFW,190,N
c-9,c-1,c-4,1532,WN,MHT,BNA,938,Y
c-7,c-4,c-1,1643,DL,RSW,ATL,515,N
c-12,c-30,c-5,645,OH,CLE,ATL,554,N
c-2,c-15,c-2,2057,CO,IAH,MFE,316,N
c-3,c-1,c-2,1503,CO,TPA,EWR,998,Y
c-1,c-8,c-6,2133,B6,JFK,ONT,2430,Y
c-8,c-9,c-2,705,NW,DTW,MSP,528,N
c-1,c-10,c-1,1459,AA,DFW,MCO,984,N
c-8,c-26,c-5,850,WN,LAS,RNO,345,Y
c-3,c-3,c-4,1519,MQ,AUS,RDU,1162,Y
c-4,c-5,c-2,1734,AA,SJU,FLL,1046,N
c-4,c-15,c-5,1245,OH,CVG,TYS,226,N
c-1,c-28,c-5,1850,OH,SLC,SBA,615,N
c-10,c-28,c-5,1141,HP,PHX,DEN,602,N
c-5,c-1,c-7,2200,AA,DFW,LAS,1055,Y
c-10,c-19,c-3,836,AA,DTW,ORD,235,N
c-7,c-24,c-7,615,OH,ISP,CVG,626,Y
c-5,c-15,c-7,901,HA,ITO,HNL,216,N
c-6,c-26,c-7,1516,DH,IAD,CRW,227,N
c-11,c-10,c-4,2028,HP,PHX,OAK,646,N
c-9,c-3,c-6,1452,UA,DEN,SEA,1024,N
c-4,c-22,c-5,820,FL,MIA,ATL,595,N
c-8,c-19,c-5,739,XE,IAH,STL,668,N
c-7,c-30,c-6,1029,FL,PHL,TPA,920,Y
c-6,c-23,c-4,1726,DL,PHL,SLC,1926,Y
c-11,c-23,c-3,1615,WN,MCI,MCO,1072,Y
c-9,c-1,c-4,1636,AA,DFW,LAS,1055,Y
c-3,c-13,c-7,1656,US,FLL,PHL,992,N
c-1,c-23,c-7,1516,MQ,CLE,DFW,1021,N
c-4,c-13,c-3,1836,OO,SLC,OAK,588,N
c-9,c-8,c-4,1046,AA,IND,DFW,762,Y
c-4,c-28,c-4,2318,US,CLT,JAX,329,Y
c-6,c-25,c-6,1702,DH,IAD,PIT,183,N
c-11,c-29,c-2,1559,OO,MTJ,DEN,197,N
c-12,c-17,c-6,1132,NW,LGA,MEM,963,N
c-5,c-4,c-3,1657,AA,LGA,ORD,733,N
c-1,c-4,c-2,1340,OH,CVG,FSD,701,N
c-2,c-24,c-4,639,NW,XNA,MEM,258,N
c-4,c-14,c-4,1851,US,PHL,BOS,280,Y
c-12,c-20,c-2,1545,OO,ORD,FAR,557,Y
c-3,c-9,c-3,1755,AA,DFW,PHL,1302,Y
c-3,c-3,c-4,812,AA,MCO,SJU,1189,N
c-10,c-27,c-4,1800,MQ,BOS,EWR,200,Y
c-8,c-4,c-4,1440,AA,DFW,SJC,1438,N
c-11,c-5,c-6,1241,DL,ATL,JAN,341,N
c-6,c-9,c-4,2035,US,CLT,LAX,2125,Y
c-2,c-4,c-5,543,DL,MDW,ATL,590,N
c-7,c-28,c-4,1729,NW,DTW,DCA,405,N
c-6,c-2,c-4,1326,CO,IAH,LGA,1416,N
c-10,c-31,c-1,1429,AA,DFW,ATL,732,Y
c-1,c-13,c-4,808,AA,ATL,ORD,606,Y
c-11,c-14,c-1,1039,WN,MDW,PHX,1444,N
c-11,c-2,c-3,1229,AA,DFW,MEM,432,N
c-10,c-16,c-7,1715,US,CLT,FLL,631,N
c-12,c-9,c-5,1248,EV,DFW,SLC,988,Y
c-5,c-25,c-3,1235,AA,ORD,LGA,733,Y
c-1,c-18,c-2,709,OO,FSD,DEN,483,N
c-7,c-1,c-5,1348,WN,SMF,SAN,480,N
c-3,c-30,c-3,1944,NW,MSP,CLE,622,Y
c-4,c-25,c-1,1255,MQ,DCA,LGA,214,N
c-11,c-17,c-4,2138,US,CLT,SAV,213,N
c-7,c-8,c-5,2047,EV,LEX,ATL,303,N
c-7,c-2,c-6,1703,NW,IND,MEM,381,N
c-8,c-17,c-3,955,NW,DTW,MKE,238,Y
c-9,c-29,c-4,1720,MQ,JFK,DCA,213,Y
c-11,c-16,c-3,1810,WN,PHX,DTW,1671,N
c-3,c-21,c-1,1720,WN,ISP,BNA,803,N
c-3,c-27,c-7,1822,DL,ATL,SEA,2182,Y
c-10,c-10,c-1,2107,EV,CAE,ATL,191,Y
c-1,c-24,c-1,1823,NW,FAR,MSP,223,N
c-10,c-13,c-4,1646,OO,SLC,OMA,839,N
c-3,c-30,c-3,1536,US,PIT,ORD,412,N
c-4,c-16,c-6,1326,UA,SMF,ORD,1781,N
c-6,c-5,c-7,604,DL,BDL,CVG,661,N
c-6,c-10,c-5,1600,XE,CLE,CLT,430,Y
c-9,c-19,c-1,1915,DL,FLL,LGA,1076,Y
c-12,c-8,c-4,1457,US,MCO,CLT,468,N
c-9,c-11,c-7,940,OH,IND,CVG,98,Y
c-11,c-27,c-7,743,AA,MCI,ORD,403,Y
c-12,c-21,c-3,2033,US,PHL,JAX,742,Y
c-10,c-18,c-2,1700,WN,SMF,LAS,397,Y
c-7,c-14,c-4,1927,US,RSW,PHL,992,Y
c-1,c-15,c-6,551,NW,BOS,DTW,632,N
c-4,c-30,c-6,1427,NW,MIA,DTW,1145,Y
c-5,c-23,c-1,1925,MQ,XNA,LGA,1147,Y
c-6,c-5,c-7,1916,NW,ATL,DTW,594,Y
c-11,c-6,c-7,1854,OH,SBN,CVG,203,N
c-12,c-1,c-4,1151,OO,TWF,SLC,175,Y
c-4,c-21,c-4,1528,XE,IAH,GRK,166,N
c-2,c-4,c-5,850,WN,LAS,LAX,236,N
c-1,c-30,c-7,1904,US,PHL,LAX,2401,Y
c-4,c-16,c-6,1345,WN,BNA,AUS,756,N
c-4,c-29,c-5,1602,DL,MSY,ATL,425,N
c-10,c-5,c-3,1748,XE,ALB,EWR,143,Y
c-5,c-9,c-1,701,DL,BUF,ATL,712,N
c-5,c-15,c-7,50,CO,ANC,SEA,1449,N
c-3,c-24,c-4,1924,XE,EWR,SAV,708,N
c-10,c-26,c-3,2017,UA,EWR,ORD,719,Y
c-7,c-8,c-5,1445,DL,ATL,DAY,432,N
c-4,c-18,c-1,1552,DH,PWM,IAD,494,N
c-7,c-17,c-7,1558,NW,IND,DTW,231,Y
c-6,c-30,c-4,1530,MQ,DFW,MSP,852,Y
c-2,c-21,c-1,1416,DL,ATL,JFK,760,Y
c-12,c-27,c-2,1155,XE,IAH,MEM,469,Y
c-5,c-15,c-7,1745,FL,MCO,ATL,403,Y
c-12,c-23,c-5,1046,UA,SFO,PDX,550,N
c-3,c-28,c-1,2031,DL,MDW,ATL,590,Y
c-11,c-20,c-7,645,WN,OAK,MDW,1844,N
c-12,c-9,c-5,738,CO,IAH,DFW,224,N
c-5,c-16,c-1,758,FL,FLL,PHL,992,N
c-2,c-16,c-3,651,AS,PDX,SFO,550,N
c-11,c-5,c-6,1219,MQ,RDU,DCA,227,Y
c-9,c-22,c-4,1500,WN,BWI,PVD,328,Y
c-2,c-10,c-4,655,DL,MCO,JFK,944,N
c-10,c-16,c-7,1157,US,DEN,PIT,1290,N
c-8,c-19,c-5,2015,WN,HOU,BNA,670,Y
c-7,c-14,c-4,1801,OH,CVG,LEX,70,Y
c-11,c-23,c-3,1554,NW,MEM,LGA,963,Y
c-8,c-5,c-5,1613,MQ,SAN,LAX,109,Y
c-11,c-22,c-2,1315,EV,IAH,ATL,689,Y
c-8,c-17,c-3,952,XE,IAD,EWR,213,N
c-1,c-14,c-5,1901,FL,CAK,ATL,528,Y
c-1,c-12,c-3,1253,WN,MSY,LAX,1671,Y
c-10,c-28,c-5,2138,WN,RNO,LAS,345,Y
c-8,c-10,c-3,1244,XE,BUF,EWR,282,N
c-7,c-21,c-4,2015,WN,BWI,PBI,883,N
c-1,c-5,c-3,1910,MQ,ORD,CLE,316,Y
c-3,c-23,c-3,1630,DL,PHL,ATL,665,Y
c-6,c-6,c-1,142,US,PHL,BDL,196,Y
c-12,c-25,c-7,1556,AA,SFO,JFK,2586,N
c-5,c-31,c-2,1423,AA,SJU,DFW,2165,Y
c-1,c-12,c-3,1826,DL,MCO,DFW,984,N
c-8,c-5,c-5,1230,DL,ATL,DCA,547,N
c-9,c-1,c-4,1810,MQ,HOU,DFW,247,Y
c-5,c-2,c-1,2019,DL,ATL,EWR,745,Y
c-5,c-22,c-7,1647,WN,BWI,CLE,314,Y
c-11,c-19,c-6,1225,WN,PDX,SMF,479,Y
c-12,c-4,c-7,1052,DL,ATL,SFO,2139,Y
c-8,c-25,c-4,1757,NW,ORD,MSP,334,N
c-8,c-4,c-4,1930,WN,ONT,PHX,325,Y
c-12,c-8,c-4,1018,AA,SAN,DFW,1171,Y
c-12,c-28,c-3,643,CO,SEA,IAH,1874,Y
c-6,c-29,c-3,836,WN,MDW,CLE,307,Y
c-4,c-18,c-1,2238,OO,LAX,BFL,109,N
c-3,c-20,c-7,1915,CO,IAH,LGA,1416,Y
c-11,c-29,c-2,1721,UA,DEN,ABQ,349,N
c-3,c-8,c-2,1621,UA,BDL,IAD,326,Y
c-9,c-15,c-4,1648,WN,LAS,OAK,407,Y
c-9,c-15,c-4,1905,WN,PDX,OAK,543,Y
c-7,c-16,c-6,1725,DL,DEN,CVG,1069,Y
c-6,c-27,c-1,2319,AA,PHL,ORD,678,Y
c-4,c-17,c-7,643,AA,HSV,DFW,603,N
c-6,c-9,c-4,1945,WN,BWI,LAX,2329,Y
c-9,c-6,c-2,1437,DL,TPA,ATL,406,N
c-11,c-15,c-2,1953,MQ,OMA,ORD,416,Y
c-10,c-5,c-3,1454,AA,LAX,DEN,862,N
c-9,c-19,c-1,805,NW,ATL,MSP,906,N
c-10,c-14,c-5,1121,EV,CSG,ATL,83,Y
c-5,c-28,c-6,1154,AA,BOS,MIA,1258,N
c-11,c-15,c-2,1929,MQ,DFW,CAE,922,Y
c-4,c-17,c-7,1958,CO,ATL,EWR,745,N
c-4,c-14,c-4,2049,HP,PHX,DFW,868,N
c-4,c-30,c-6,2411,EV,ATL,MLU,448,Y
c-4,c-2,c-6,1920,CO,IAH,MCO,853,Y
c-2,c-26,c-6,557,AA,PDX,DFW,1616,N
c-10,c-4,c-2,1605,WN,LAS,PHX,256,Y
c-7,c-25,c-1,2043,TZ,LGA,MDW,725,Y
c-10,c-26,c-3,920,WN,BUR,LAS,223,Y
c-2,c-24,c-4,1307,WN,BWI,SDF,495,Y
c-3,c-7,c-1,1220,MQ,RDU,LGA,431,N
c-4,c-11,c-1,1822,FL,BMI,MCO,936,N
c-9,c-3,c-6,914,AS,SEA,ORD,1721,Y
c-1,c-13,c-4,1623,US,PHL,BNA,675,Y
c-8,c-6,c-6,1129,FL,BOS,BWI,370,Y
c-1,c-11,c-2,1028,EV,ATL,CSG,83,N
c-1,c-23,c-7,1048,US,IAD,SJU,1571,N
c-7,c-1,c-5,1805,OO,ORD,STL,258,Y
c-2,c-17,c-4,1912,EV,EYW,ATL,646,N
c-11,c-17,c-4,1330,WN,SEA,MCI,1489,Y
c-6,c-1,c-3,1429,US,PHL,BOS,280,N
c-5,c-4,c-3,1805,WN,LAX,RNO,390,Y
c-5,c-28,c-6,740,EV,LIT,SLC,1156,N
c-12,c-4,c-7,1700,AA,RDU,MIA,700,N
c-12,c-1,c-4,900,WN,LAS,IND,1591,Y
c-6,c-29,c-3,1750,OH,ALB,CVG,623,Y
c-9,c-26,c-1,1731,OO,ORD,AUS,978,Y
c-11,c-29,c-2,1520,WN,OAK,SAN,446,N
c-6,c-9,c-4,834,NW,BNA,DTW,457,N
c-6,c-10,c-5,1425,WN,HOU,HRL,276,N
c-5,c-29,c-7,2332,AA,LAS,MIA,2175,N
c-7,c-13,c-3,639,XE,LIT,IAH,374,N
c-11,c-18,c-5,1428,B6,LAS,LGB,231,Y
c-10,c-11,c-2,1410,AA,MIA,EWR,1086,Y
c-12,c-15,c-4,1457,FL,BMI,MCO,936,Y
c-1,c-8,c-6,1311,AA,LAX,EWR,2454,Y
c-11,c-17,c-4,1300,WN,BNA,RDU,443,N
c-9,c-17,c-6,1115,WN,BWI,LIT,912,N
c-4,c-26,c-2,1016,MQ,HOU,DFW,247,N
c-9,c-3,c-6,1527,MQ,SAN,LAX,109,N
c-1,c-19,c-3,2051,AA,DCA,ORD,612,Y
c-5,c-27,c-5,1130,US,CLT,ORF,290,Y
c-9,c-30,c-5,1133,DL,TPA,CVG,773,N
c-3,c-15,c-2,743,OH,CVG,RIC,413,N
c-10,c-19,c-3,2007,AA,LAX,HNL,2556,N
c-7,c-15,c-5,844,CO,SNA,IAH,1347,Y
c-6,c-22,c-3,1857,F9,MKE,DEN,895,N
c-7,c-13,c-3,2130,EV,AGS,ATL,143,N
c-8,c-16,c-2,706,HP,IAH,LAS,1222,N
c-4,c-16,c-6,658,TZ,SFO,MDW,1855,N
c-7,c-28,c-4,1638,US,PHL,PIT,267,Y
c-10,c-6,c-4,2350,EV,ATL,MDT,619,Y
c-7,c-30,c-6,1822,FL,ATL,HOU,696,Y
c-11,c-28,c-1,1612,MQ,LGA,CMH,478,Y
c-11,c-19,c-6,1254,CO,ORD,EWR,719,N
c-12,c-22,c-4,1521,MQ,LGA,BOS,185,Y
c-11,c-21,c-1,633,AA,MCI,ORD,403,Y
c-2,c-11,c-5,1330,OO,LAX,PHX,370,Y
c-12,c-17,c-6,1251,DL,ATL,JFK,760,Y
c-2,c-8,c-2,2117,FL,ATL,DFW,732,Y
c-6,c-28,c-2,1909,AS,KTN,SIT,183,Y
c-8,c-14,c-7,1252,XE,IAH,STL,668,N
c-1,c-8,c-6,2302,AS,LAS,SEA,866,Y
c-7,c-19,c-2,1649,DL,CVG,ATL,373,Y
c-8,c-14,c-7,2004,AA,DFW,COS,592,Y
c-12,c-24,c-6,1352,OO,ORD,MBS,222,Y
c-2,c-18,c-5,2227,HP,PHX,SJC,621,N
c-10,c-18,c-2,1907,MQ,LGA,GRR,618,Y
c-5,c-22,c-7,2030,MQ,DFW,TYS,772,Y
c-2,c-4,c-5,810,DL,SLC,ORD,1249,N
c-5,c-15,c-7,855,NW,SEA,DTW,1927,N
